organism,mol_type,isolate,isolation_source,host,db_xref,country,date,strain,file,accession,collected_by,note,lat_lon,clone,chromosome,identified_by,lab_host,md5sum,file_name,guid,file_size
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0180/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0180/2020-MT450882.gb,MT450882.gb,MT450882,,,,,,,,99444082baa17a51a4e73749c7c784b5,MT450882.gb,dg.63D5/151520b7-df07-4f65-8006-eb675d07a8a9,65884
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-PV09044/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-03-21,SARS-CoV-2/human/USA/NY-PV09044/2020-MT370979.gb,MT370979.gb,MT370979,,passage_history: sequence was derived directly from the original sample material,,,,,,7fa3f7d18faa5d0ce58a64b6b3c3ab83,MT370979.gb,dg.63D5/ddabcec8-7288-44dc-82fc-d0d96eac5b86,66815
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1265/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-05-12,USA/CA-CZB-1265/2020-MT534335.gb,MT534335.gb,MT534335,,,,,,,,1370705135242b4f69600520ca13c60b,MT534335.gb,dg.63D5/252cf449-b8f0-4400-8189-2e00d4024103,66186
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-5717/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-06,SARS-CoV-2/human/USA/WA-UW-5717/2020-MT412270.gb,MT412270.gb,MT412270,,,,,,,,48cf1e08d53368bedbd77d3237192734,MT412270.gb,dg.63D5/7c231229-8629-4f7a-b07e-38c0131bbef7,66353
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UF-4/2020,nasal swab specimen,Homo sapiens,taxon:2697049,USA,2020-03-27,SARS-CoV-2/human/USA/UF-4/2020-MT422806.gb,MT422806.gb,MT422806,,,,,,,LLC-MK2 cells,0f7b288860c0759db0112a839ac03b9a,MT422806.gb,dg.63D5/3c13311e-97ad-426f-88fb-7061a80f3e8d,66532
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0135/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0135/2020-MT482121.gb,MT482121.gb,MT482121,,,,,,,,5a56cfd18d567f851f0db77db1b34e0f,MT482121.gb,dg.63D5/2be2802e-efaf-44f0-a70c-cd733f436139,66018
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/ID-UW-3892/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-26,SARS-CoV-2/human/USA/ID-UW-3892/2020-MT358709.gb,MT358709.gb,MT358709,,,,,,,,d4835b979ef1251ffbd2b2bbdb636a6b,MT358709.gb,dg.63D5/ea6443ca-3401-4ff7-b1f4-3fbff2c244b6,64851
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/CZE/IAB_20/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,Czech Republic,2020-03-27,SARS-CoV-2/human/CZE/IAB_20/2020-MT517431.gb,MT517431.gb,MT517431,,,,,,,,8df1e02327fa2a6b1260fc44d81b5ce7,MT517431.gb,dg.63D5/dbcc83c7-3852-4fe4-9d42-1f06f848abc8,66237
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC83/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-14,SARS-CoV-2/human/AUS/VIC83/2020-MT450993.gb,MT450993.gb,MT450993,,,,,,,,15a4940848f2c1cfa676a03108e0ed59,MT450993.gb,dg.63D5/a4ba7cb9-a396-43f1-969a-945126bd098a,66875
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-PV08485/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-03-17,SARS-CoV-2/human/USA/NY-PV08485/2020-MT370868.gb,MT370868.gb,MT370868,,passage_history: sequence was derived directly from the original sample material,,,,,,5d6a27fb85338bd553b113231dd6fb9f,MT370868.gb,dg.63D5/eb97addc-c721-46d0-a63c-1e9c9422b112,66996
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-PV09121/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-03-19,SARS-CoV-2/human/USA/NY-PV09121/2020-MT370928.gb,MT370928.gb,MT370928,,passage_history: sequence was derived directly from the original sample material,,,,,,a1ec6d4cc0f5c9a99fb2ada5d156cc0c,MT370928.gb,dg.63D5/b0df24ea-bb10-42ae-aa2f-0b1695683fb3,67268
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-4227/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-31,SARS-CoV-2/human/USA/WA-UW-4227/2020-MT358649.gb,MT358649.gb,MT358649,,,,,,,,f8e1fca2678f48e671a2070af999dbc8,MT358649.gb,dg.63D5/05b82935-f288-4a3c-81cb-ac35e7274f2f,64936
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/mink/NLD/1/2020,lung,Mustela lutreola,taxon:2697049,Netherlands,2020-04-24,SARS-CoV-2/mink/NLD/1/2020-MT396266.gb,MT396266.gb,MT396266,,,,,,,,d9d3b7312f8d8e904e94cc32138f7979,MT396266.gb,dg.63D5/c069a476-5d18-44ee-97a1-3c05aae28e05,66463
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WI-UW-367/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/WI-UW-367/2020-MT506906.gb,MT506906.gb,MT506906,UWHC,,,,,,,7bc55be62274f3e672efe0ab4e8b37c9,MT506906.gb,dg.63D5/6f6c67fe-bbe5-4f94-8123-e0cd4a17897c,65955
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MI-MDHHS-SC20096/2020,swab,Homo sapiens,taxon:2697049,USA,2020-03-30,SARS-CoV-2/human/USA/MI-MDHHS-SC20096/2020-MT412221.gb,MT412221.gb,MT412221,,,,,,,,d7c09b4e8fc8132bb4fc38073b0a4b1f,MT412221.gb,dg.63D5/6e5c4e6a-c3d7-4f40-b1fe-da69d3c3d208,66493
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/GA_2070/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-07,SARS-CoV-2/human/USA/GA_2070/2020-MT344945.gb,MT344945.gb,MT344945,,5' sequence is the primer sequence used,,,,,,8ff5fcbd2b3a9217c06f4e2365f645ed,MT344945.gb,dg.63D5/7de49464-4191-4e9c-a19f-bae4f3182763,66282
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-00033/2020,,Homo sapiens,taxon:2697049,USA,2020-03-19,SARS-CoV-2/human/USA/UT-00033/2020-MT334547.gb,MT334547.gb,MT334547,,,,,,,,953f176fe42fe1fc21ae28047909d78f,MT334547.gb,dg.63D5/cbd97298-41e5-4d6c-b83d-1906b0f65354,65912
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_9889/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-04,SARS-CoV-2/human/USA/MA_9889/2020-MT325633.gb,MT325633.gb,MT325633,,5' sequence is the primer sequence used,,,,,,6cddc9537854be0508edafaa9c43a1c5,MT325633.gb,dg.63D5/8f9bd839-5787-44c6-ba50-136b54a0b5ac,66203
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0068/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0068/2020-MT350257.gb,MT350257.gb,MT350257,,,,,,,,9c5145b188a88679484d2e28658eea29,MT350257.gb,dg.63D5/231bbdc1-14df-4c1d-a51d-050385f89aec,65887
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/FL-BPHL-0110/2020,,Homo sapiens,taxon:2697049,USA,2020-04-07,SARS-CoV-2/Human/USA/FL-BPHL-0110/2020-MT511673.gb,MT511673.gb,MT511673,,,,,,,,2656c7be65177aad6f6e9219839a88b7,MT511673.gb,dg.63D5/98c3f955-5b0e-4f44-bdd4-bc0cc952b070,66457
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC223/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-20,SARS-CoV-2/human/AUS/VIC223/2020-MT451123.gb,MT451123.gb,MT451123,,,,,,,,7416ac1c6653df5b8251730b2a5bcb61,MT451123.gb,dg.63D5/39b330de-27d3-40b1-b47d-17087aa1ee9c,66890
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0238/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0238/2020-MT558664.gb,MT558664.gb,MT558664,,,,,,,,38f75ab0b7e1f4da80726df6a1066bd1,MT558664.gb,dg.63D5/82ad6951-fb12-42c3-a066-5a0dee65ded8,66065
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UNKNOWN-UW-1791/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-20,SARS-CoV-2/human/USA/UNKNOWN-UW-1791/2020-MT326085.gb,MT326085.gb,MT326085,,,,,,,,451f08d8f39d710253b72b7c74f6b5a7,MT326085.gb,dg.63D5/4117624f-f243-4069-ae9e-ffdba208234c,65876
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC159/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-18,SARS-CoV-2/human/AUS/VIC159/2020-MT451063.gb,MT451063.gb,MT451063,,,,,,,,e85773f14513e76622c70d76f8569648,MT451063.gb,dg.63D5/12320d7f-6952-4cb4-9907-9f34982e0e84,67254
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC276/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC276/2020-MT451172.gb,MT451172.gb,MT451172,,,,,,,,cdc5d80327f8cccf1c432889249afdf3,MT451172.gb,dg.63D5/00e9259c-2664-4cb0-82b0-d310316f3aeb,66832
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-5166/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-02,SARS-CoV-2/human/USA/WA-UW-5166/2020-MT375480.gb,MT375480.gb,MT375480,,,,,,,,02c83e9e1a4eae2f902e95f33d2edb26,MT375480.gb,dg.63D5/f08de858-da54-49ef-9c6e-15ddd7def65d,65978
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC123/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-20,SARS-CoV-2/human/AUS/VIC123/2020-MT451032.gb,MT451032.gb,MT451032,,,,,,,,e1c3e01505ae8cdabebc7e684cc20aca,MT451032.gb,dg.63D5/75d468ae-e1e6-44d6-a238-24b0a9b7e6f4,67401
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/UT-01560/2020,,Homo sapiens,taxon:2697049,USA,2020-04-07,SARS-CoV-2/Human/USA/UT-01560/2020-MT535486.gb,MT535486.gb,MT535486,,,,,,,,fd5c9031a7ef954dc9524af0d1729bf4,MT535486.gb,dg.63D5/edff25f0-7aea-4cbb-9f93-0abe2a89bcda,65980
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/DEU/BavPat1-ChVir929/2020,,Homo sapiens,taxon:2697049,Germany,2020-01-28,SARS-CoV-2/human/DEU/BavPat1-ChVir929/2020-MT270101.gb,MT270101.gb,MT270101,,,,,,,,f3e18576ac86bcfbc5c8e748c389e52a,MT270101.gb,dg.63D5/648670c6-d334-48eb-b779-5110cf194092,66879
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/JAM/JM-CDC-7286/2020,swab,Homo sapiens,taxon:2697049,Jamaica,2020-03-17,SARS-CoV-2/human/JAM/JM-CDC-7286/2020-MT507276.gb,MT507276.gb,MT507276,,,,,,,,38836f5df5048fb26b2bc6dda9d5c7fc,MT507276.gb,dg.63D5/a43ccd4d-5e80-4c42-a4be-b8fd7361f53a,66157
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/DC-CDC-0019/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-08,SARS-CoV-2/human/USA/DC-CDC-0019/2020-MT472627.gb,MT472627.gb,MT472627,,5' sequence is the primer sequence used,,,,,,c720a698e80dd491b003d0234f69edff,MT472627.gb,dg.63D5/a0bfae34-639e-432c-a3e0-97c2a9d5695b,66268
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00254/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-06,SARS-CoV-2/human/USA/MA_MGH_00254/2020-MT520248.gb,MT520248.gb,MT520248,Massachusetts General Hospital,,,,,,,a76ea4649a8412eda39617fb4b85be4b,MT520248.gb,dg.63D5/76653573-334b-4fd9-8bfa-4fce91121ce2,67517
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-5065/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-08,SARS-CoV-2/human/USA/WA-UW-5065/2020-MT375473.gb,MT375473.gb,MT375473,,,,,,,,37190a2b920dae0d67eac8e6be177555,MT375473.gb,dg.63D5/8f909d29-6312-4054-88fa-85512241737f,65992
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC318/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-24,SARS-CoV-2/human/AUS/VIC318/2020-MT451210.gb,MT451210.gb,MT451210,,,,,,,,c99efc20549488bd17fec8b8a81af7f3,MT451210.gb,dg.63D5/7268cd82-3ba8-40eb-a54a-efb67de2e889,66887
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC287/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC287/2020-MT451181.gb,MT451181.gb,MT451181,,,,,,,,ffc094ffebf4103f1ba9935146117c03,MT451181.gb,dg.63D5/5bec3df6-c3a5-4473-89ab-70746515ceed,66840
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1753/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-21,SARS-CoV-2/human/USA/WA-UW-1753/2020-MT326167.gb,MT326167.gb,MT326167,,,,,,,,d109d6705b35c2208d88d74b1cf60e86,MT326167.gb,dg.63D5/8017acac-9f7a-4ded-b180-e637166aeb57,66002
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/ZAF/R03006/2020,,Homo sapiens,taxon:2697049,South Africa,2020-03-07,SARS-CoV-2/human/ZAF/R03006/2020-MT324062.gb,MT324062.gb,MT324062,,,,,,,,92987b470d08eaf930901596ab9b13cc,MT324062.gb,dg.63D5/b1bd39a5-3cd6-4b23-ace5-836e9ac20df8,66714
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW300/2020,,Homo sapiens,taxon:2697049,USA,2020-03-24,SARS-CoV-2/human/USA/WA-UW300/2020-MT263383.gb,MT263383.gb,MT263383,,,,,,,,609eb793cd799bd39fc1c6508010c02d,MT263383.gb,dg.63D5/074c08de-619c-41a7-a7e4-97f25e449d1a,62887
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/GBRC46/2020,,Homo sapiens,taxon:2697049,India,2020-04-29,SARS-CoV-2/human/IND/GBRC46/2020-MT467238.gb,MT467238.gb,MT467238,,BJ51,,,,,,4d65638e461ed647dd542990c73123c0,MT467238.gb,dg.63D5/91ab067b-b0d2-4728-b89c-ca33349c8f3f,66360
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/UT-00346/2020,,Homo sapiens,taxon:2697049,USA,2020-03-26,SARS-CoV-2/Human/USA/UT-00346/2020-MT535475.gb,MT535475.gb,MT535475,,,,,,,,6a77d50f951a27d58479ea9260feea21,MT535475.gb,dg.63D5/716b1a67-2667-4ed8-9d34-9aaa12b6fe67,66296
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC492/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-23,SARS-CoV-2/human/AUS/VIC492/2020-MT451350.gb,MT451350.gb,MT451350,,,,,,,,c3524ceee3e2524a4c652227873e3d29,MT451350.gb,dg.63D5/47de49e5-777a-4eb2-a282-f5f92fdf8623,67359
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1977/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-24,SARS-CoV-2/human/USA/WA-UW-1977/2020-MT326027.gb,MT326027.gb,MT326027,,,,,,,,b20fe054cc15b1eedd45948b823c86bf,MT326027.gb,dg.63D5/56585355-cc46-4faa-9b33-d550029fd352,65955
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00704/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-06,SARS-CoV-2/human/USA/MA_MGH_00704/2020-MT520308.gb,MT520308.gb,MT520308,Massachusetts General Hospital,,,,,,,890bcecbb8e8d3748308b7c0487f7818,MT520308.gb,dg.63D5/0afcb798-6baf-4b27-a903-86687cc75731,67556
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0277/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0277/2020-MT558697.gb,MT558697.gb,MT558697,,,,,,,,3ad635429784b927be0cb0981a1d0a4a,MT558697.gb,dg.63D5/8dce36b7-da85-4279-ba3b-e5383dea3b23,66103
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC350/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-20,SARS-CoV-2/human/AUS/VIC350/2020-MT451241.gb,MT451241.gb,MT451241,,,,,,,,21ee42b6d1048bf9ba0f130958cfda29,MT451241.gb,dg.63D5/f0ae384e-f4fe-458b-92d3-27ff4865c657,66836
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1689/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-19,SARS-CoV-2/human/USA/WA-UW-1689/2020-MT326136.gb,MT326136.gb,MT326136,,,,,,,,8212051f162ab9dbd1b6aebff0fa8e3c,MT326136.gb,dg.63D5/332560e7-1e15-4a2b-b312-140339cacbc0,65731
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1056/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-07,SARS-CoV-2/human/USA/CA-CZB-1056/2020-MT449647.gb,MT449647.gb,MT449647,,,,,,,,db06857b1459446e14133fa22fd8d403,MT449647.gb,dg.63D5/965d1624-1aae-43e6-bfae-070b9b2008ba,65967
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00184/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-27,SARS-CoV-2/human/USA/MA_MGH_00184/2020-MT520188.gb,MT520188.gb,MT520188,Massachusetts General Hospital,,,,,,,3cd9f2651d2898e4cebf5863016cb27f,MT520188.gb,dg.63D5/acf303bc-ac89-49cf-a141-f313fbe6fc64,67529
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00274/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/MA_MGH_00274/2020-MT520219.gb,MT520219.gb,MT520219,Massachusetts General Hospital,,,,,,,90d779e86c400a026f7fc3ada40964c4,MT520219.gb,dg.63D5/e464c37a-39d7-4b8b-986b-c6e2b1aa2ee6,67534
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/FL-BPHL-0117/2020,,Homo sapiens,taxon:2697049,USA,2020-04-09,SARS-CoV-2/Human/USA/FL-BPHL-0117/2020-MT511680.gb,MT511680.gb,MT511680,,,,,,,,57aa9fbf5d89389d014b7dbe2957ca40,MT511680.gb,dg.63D5/b4c43118-5fa2-4945-9d6e-1de21ea2168e,66616
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/FL-BPHL-0032/2020,,Homo sapiens,taxon:2697049,USA,2020-04-16,SARS-CoV-2/human/USA/FL-BPHL-0032/2020-MT507005.gb,MT507005.gb,MT507005,,,,,,,,3783d9666046faea40eeea718ae7e23d,MT507005.gb,dg.63D5/f702292f-e5e8-4e8d-8ada-ff891daca426,66893
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/ID-UW-4254/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-30,SARS-CoV-2/human/USA/ID-UW-4254/2020-MT461625.gb,MT461625.gb,MT461625,,,,,,,,1a8b71b44214d37b4ab58bb121f8f07d,MT461625.gb,dg.63D5/eba8567c-8374-48a6-89fc-36eb1f10ac07,66025
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UNC_200254/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/UNC_200254/2020-MT528607.gb,MT528607.gb,MT528607,Dirk Dittmer,,,,,,,5dcfe8b3a855456f6f4e7b6854b81042,MT528607.gb,dg.63D5/79c61227-a9d6-4366-b505-2cd136173fa2,66180
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00453/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-04,SARS-CoV-2/human/USA/MA_MGH_00453/2020-MT520359.gb,MT520359.gb,MT520359,Massachusetts General Hospital,,,,,,,983dac2e84b4e59c5a0e3ba20ef3a047,MT520359.gb,dg.63D5/a4edf65c-0bfe-4134-90a4-0e3180387c60,67523
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1136/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-27,SARS-CoV-2/human/USA/CA-CZB-1136/2020-MT481927.gb,MT481927.gb,MT481927,,,,,,,,725d4bd71f45123251d4065906d773f7,MT481927.gb,dg.63D5/f4f879e2-a280-45e1-ae4f-abace0a62e25,66149
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MI-MDHHS-SC20389/2020,,Homo sapiens,taxon:2697049,USA,2020-04-30,SARS-CoV-2/human/USA/MI-MDHHS-SC20389/2020-MT506229.gb,MT506229.gb,MT506229,,,,,,,,62f762314d56ee4cbe0525eebb05885d,MT506229.gb,dg.63D5/ead3e3a5-bb66-439d-9242-86151e0a7e2a,66599
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC427/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-25,SARS-CoV-2/human/AUS/VIC427/2020-MT451301.gb,MT451301.gb,MT451301,,,,,,,,d4af18b1759330de353654b4ef03ca37,MT451301.gb,dg.63D5/8444afff-91d4-42e1-8072-0a45d80e145b,67276
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC188/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-19,SARS-CoV-2/human/AUS/VIC188/2020-MT451090.gb,MT451090.gb,MT451090,,,,,,,,2398c60fb08637e0673b7381e80eefac,MT451090.gb,dg.63D5/31e46173-3e12-438e-b9cd-1b298d675b1f,66822
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1944/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-24,SARS-CoV-2/human/USA/WA-UW-1944/2020-MT326076.gb,MT326076.gb,MT326076,,,,,,,,9c4ed81a5b3abd0853038c0ec4ad426e,MT326076.gb,dg.63D5/97ac70f3-bf49-4d9e-a9b2-e18259d469fb,65928
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC581/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-25,SARS-CoV-2/human/AUS/VIC581/2020-MT451397.gb,MT451397.gb,MT451397,,,,,,,,1482040f7139e8bf0e9b38012ffb3125,MT451397.gb,dg.63D5/b5128b62-e0bb-43e6-b540-772160cd83e2,67356
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC96/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-16,SARS-CoV-2/human/AUS/VIC96/2020-MT451006.gb,MT451006.gb,MT451006,,,,,,,,ec3f9059a3f05a172cb7612927f28887,MT451006.gb,dg.63D5/b1ea3103-2b5c-4432-bbe0-ea03abf3317c,66833
Severe acute respiratory syndrome coronavirus 2,genomic RNA,WIV07,bronchoalveolar lavage fluid,Homo sapiens,taxon:2697049,China,2019-12-30,WIV07-MN996531.gb,MN996531.gb,MN996531,Wuhan Jinyintan Hospital,,,,,,,a3502c0d875a806c1e8953ae52bf4ee9,MN996531.gb,dg.63D5/8d5217e6-5b2f-4be6-ab73-c8d672cad1aa,56499
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC249/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-21,SARS-CoV-2/human/AUS/VIC249/2020-MT451146.gb,MT451146.gb,MT451146,,,,,,,,78e12a89514850ea1b4a72ca52fe9ff6,MT451146.gb,dg.63D5/8cb197bc-a34c-4c3f-a580-3206b9a0fcf9,66838
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC153/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-17,SARS-CoV-2/human/AUS/VIC153/2020-MT451057.gb,MT451057.gb,MT451057,,,,,,,,a513ede992970c5f03f02c9955c5c9d7,MT451057.gb,dg.63D5/31608270-9114-4695-80fc-5e3e762d1541,66832
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW234/2020,,Homo sapiens,taxon:2697049,USA,2020-03-14,SARS-CoV-2/human/USA/WA-UW234/2020-MT251977.gb,MT251977.gb,MT251977,,,,,,,,5f8c484f684f331110a812dabbaf3a3b,MT251977.gb,dg.63D5/6c2d07e8-deb6-4578-a310-68ba735ea041,55893
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1199/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-29,SARS-CoV-2/human/USA/CA-CZB-1199/2020-MT499174.gb,MT499174.gb,MT499174,,,,,,,,f3ebb5caa992a32eb1a2a5bfb7282bab,MT499174.gb,dg.63D5/4eab39b8-55be-46db-a2f7-2c66be004bb0,66248
